sensor,outcome,public_lb_range,validates,kills_or_weakens,action_class,routes_to_e154,forbids_same_family_tuning,next_action,routes_to_branch_control,routes_to_e176
e176,q2_underopen_breakthrough,"(-inf, 0.57626133]",broad_q2_underopen,binary_world_counterprior_as_first_choice,promote_e176,0,1,"Promote E176 as the broad anchor. Next experiment should decompose S3/S2/S1-heavy reopening, not increase Q2.",0,
e176,clean_win,"(0.57626133, 0.576276019]",broad_q2_underopen,binary_world_counterprior_as_first_choice,promote_e176,0,1,Use E176 as the expected-score anchor and treat E174 as a max-edge contrast only.,0,
e176,micro_win,"(0.576276019, 0.57628833]",broad_q2_underopen,binary_world_counterprior_as_first_choice,promote_e176,0,1,Promote cautiously. Compare E176 against E174 only if a second public slot is explicitly a Q2-amplitude test.,0,
e176,tie,"(0.57628833, 0.57629433]",hidden_label_resolution_bottleneck,expected_score_certification_for_e176,ambiguous_or_shift_to_e154_by_question,0,1,"Keep E95 practical. If testing the same family again, use E172 only as the safer contrast or E174 only as the deliberate Q2 full-reopen contrast.",0,
e176,small_loss,"(0.57629433, 0.576300366]",hidden_label_resolution_bottleneck,expected_score_certification_for_e176,ambiguous_or_shift_to_e154_by_question,1,1,Use E172 as the cleaner same-family contrast only if the next question is broad-tail repair; otherwise shift to E154/conservative branch.,0,
e176,e101_worse_mixmin_safe,"(0.576300366, 0.576306641]",binary_world_or_other_counterworld,partial_reopen_expected_score_lane,demote_e176_route_e154_or_search,1,1,Demote the E174/E176 partial-reopen branch. Prefer E154 if another expected-score file is needed.,0,
e176,branch_loss,"(0.576306641, 0.57634133]",binary_world_or_other_counterworld,partial_reopen_expected_score_lane,demote_e176_route_e154_or_search,1,1,Close E176/E174/E172/E169 as expected-score followups and rebuild the bad-axis model.,0,
e176,hard_fail,"(0.57634133, inf]",binary_world_or_other_counterworld,partial_reopen_expected_score_lane,demote_e176_route_e154_or_search,0,1,Close the same-family broad reopen expected-score lane and search for a new non-collinear latent.,0,
e154,breakthrough_win,"(-inf, 0.57627133]",repaired_branch,e176_first_priority_but_not_e176_worldview,promote_e154,0,1,Promote E154 and rerun exact-delta audits. Do not spend the next slot on E155/E157/E156 until the new anchor geometry is rebuilt.,0,0.0
e154,clean_win,"(0.57627133, 0.57628433]",repaired_branch,e176_first_priority_but_not_e176_worldview,promote_e154,0,1,"Promote E154; use E155 only as a private-risk amplitude audit, not as the next automatic public file.",1,0.0
e154,micro_win,"(0.57628433, 0.57628933]",repaired_branch,e176_first_priority_but_not_e176_worldview,promote_e154,0,1,"Promote E154 cautiously; next local work should seek non-collinear representation, not target-axis micro-tuning.",0,0.0
e154,tie,"(0.57628933, 0.57629333]",repaired_branch_underresolved_or_added_body_question,full_e154_expected_score_certification,e155_or_e144_component_branch,0,1,"Keep E95 practical frontier; E155 is allowed only if deliberately testing lower amplitude, not expected improvement.",1,0.0
e154,small_loss,"(0.57629333, 0.576300366]",repaired_branch_underresolved_or_added_body_question,full_e154_expected_score_certification,e155_or_e144_component_branch,0,1,"If spending another slot on this branch, E155 is the only clean same-family follow-up; do not jump to E157/E156 before E155.",1,0.0
e154,branch_loss,"(0.576300366, 0.576306641]",repaired_branch_failure,repaired_branch_siblings,e144_or_representation_search,0,1,"Treat E155 as an explicit overextension test only. If E155 is skipped or loses, use E144 as the unrepaired contrast or close the branch.",1,0.0
e154,hard_fail,"(0.576306641, inf]",repaired_branch_failure,repaired_branch_siblings,e144_or_representation_search,0,1,Do not submit E157/E156. E155 is only an information-only amplitude salvage; otherwise fall back to E144 or representation search.,1,0.0
